지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),평균 증기압(hPa),합계 대형증발량(mm)
105,강릉,2017-01-01,6.6,,39.4,3.8,2.8
105,강릉,2017-01-02,8.6,,44.6,5,2.7
105,강릉,2017-01-03,6.8,,32.1,3.1,3.1
105,강릉,2017-01-04,6.1,,42.8,3.9,2.1
105,강릉,2017-01-05,2.5,6,81.3,6,.4
105,강릉,2017-01-06,4.9,0,74,6.3,1.8
105,강릉,2017-01-07,6.5,,56.9,5.4,1.7
105,강릉,2017-01-08,5.5,1.5,79.8,7.2,.7
105,강릉,2017-01-09,5.8,.5,48,4.3,2.9
105,강릉,2017-01-10,1.2,,28.8,1.9,2.6
105,강릉,2017-01-11,-1.1,,23,1.3,2.3
105,강릉,2017-01-12,1.2,,27.6,1.8,3
105,강릉,2017-01-13,-2.3,,30.9,1.6,1.9
105,강릉,2017-01-14,-5.6,,22.8,.9,2.2
105,강릉,2017-01-15,-1.8,,21.8,1.2,2.5
105,강릉,2017-01-16,-.9,,45.9,2.7,1.6
105,강릉,2017-01-17,2.2,,32,2.2,2.7
105,강릉,2017-01-18,3.1,,36.6,2.8,2.2
105,강릉,2017-01-19,2.4,,46.5,3.4,1.8
105,강릉,2017-01-20,-1.4,24,71.3,3.8,.6
105,강릉,2017-01-21,-2.1,,50.3,2.6,1.7
105,강릉,2017-01-22,-4.1,,39,1.8,1.9
105,강릉,2017-01-23,-5.4,,35.8,1.5,1.9
105,강릉,2017-01-24,-2.9,,31.3,1.5,2.2
105,강릉,2017-01-25,-.6,,28.8,1.7,2.7
105,강릉,2017-01-26,2.7,,26.3,2,3
105,강릉,2017-01-27,3.3,0,33.5,2.6,3.2
105,강릉,2017-01-28,2.3,,39.4,3,1.8
105,강릉,2017-01-29,3,4.5,62.8,4.7,.6
105,강릉,2017-01-30,-.2,12,72.9,4.4,1
105,강릉,2017-01-31,-.8,,36.1,2,2
105,강릉,2017-02-01,.5,,30.6,1.9,3
105,강릉,2017-02-02,3.3,,21.5,1.6,4.4
105,강릉,2017-02-03,5.1,,30.9,2.7,3.5
105,강릉,2017-02-04,7.8,,31.3,3.4,2.5
105,강릉,2017-02-05,6.1,,44.9,4.2,1.7
105,강릉,2017-02-06,2.1,,38.4,2.7,2.4
105,강릉,2017-02-07,1.6,,45.8,3.2,1.6
105,강릉,2017-02-08,3,,35.1,2.6,2
105,강릉,2017-02-09,-1,,35.9,2,1.9
105,강릉,2017-02-10,-4.1,,34.5,1.5,2.3
105,강릉,2017-02-11,-2.1,,31.3,1.6,2.6
105,강릉,2017-02-12,.9,,35,2.3,2.6
105,강릉,2017-02-13,2.5,,32.5,2.3,2.8
105,강릉,2017-02-14,1.9,,51.9,3.6,2.2
105,강릉,2017-02-15,7.2,,24.4,2.5,5
105,강릉,2017-02-16,12.1,,28.6,4.1,5.3
105,강릉,2017-02-17,7.6,,49.9,5.6,1.8
105,강릉,2017-02-18,1.8,,26.4,1.8,3.1
105,강릉,2017-02-19,4.9,,36.5,3.3,2.2
105,강릉,2017-02-20,4.3,,44.6,3.9,2.5
105,강릉,2017-02-21,1.5,,47.3,3.3,2.2
105,강릉,2017-02-22,4,3.5,64.1,5.3,1.1
105,강릉,2017-02-23,3.2,,47.6,3.7,2.5
105,강릉,2017-02-24,2,,32.5,2.2,3.5
105,강릉,2017-02-25,5.1,,31.1,2.7,3.5
105,강릉,2017-02-26,3.6,,47.6,3.7,2
105,강릉,2017-02-27,4.7,,58.3,5,2.6
105,강릉,2017-02-28,8.7,,30,3.2,3.8
105,강릉,2017-03-01,8.5,3,50.5,5.3,1.6
105,강릉,2017-03-02,3.2,16,83.1,6.4,.8
105,강릉,2017-03-03,6.5,,35.8,3.3,4
105,강릉,2017-03-04,7,,47.4,4.7,2.3
105,강릉,2017-03-05,6.6,,61.3,6,2
105,강릉,2017-03-06,3.6,,41.4,3.3,2.6
105,강릉,2017-03-07,1.3,,23.6,1.5,3.9
105,강릉,2017-03-08,2.1,,33.1,2.3,3.7
105,강릉,2017-03-09,5.7,,31,2.8,3.6
105,강릉,2017-03-10,5.3,,34.4,3,3.9
105,강릉,2017-03-11,8.8,,30.3,3.4,4
105,강릉,2017-03-12,11.2,,34.6,4.6,2.3
105,강릉,2017-03-13,6.9,,51,5.1,2.6
105,강릉,2017-03-14,2.6,7.5,72.8,5.3,.8
105,강릉,2017-03-15,3.7,,58.9,4.5,2.5
105,강릉,2017-03-16,6.1,,52,4.6,3.7
105,강릉,2017-03-17,8.7,,35.8,4,4.2
105,강릉,2017-03-18,12,,26.9,3.7,3.5
105,강릉,2017-03-19,10.5,,37.8,4.8,4
105,강릉,2017-03-20,12,,30.9,4.4,2.7
105,강릉,2017-03-21,6.1,12,66,6.1,1.4
105,강릉,2017-03-22,8,,47.3,5,3.3
105,강릉,2017-03-23,7,.5,61.4,6,1.4
105,강릉,2017-03-24,6.7,,58.8,5.7,1.7
105,강릉,2017-03-25,6,2,73.6,6.9,1.3
105,강릉,2017-03-26,6.3,1,73.1,6.9,1.5
105,강릉,2017-03-27,7.1,,56.8,5.6,2
105,강릉,2017-03-28,9.1,,42.5,4.8,3.3
105,강릉,2017-03-29,11.6,,32.1,4.3,4.7
105,강릉,2017-03-30,12.2,,42.1,5.9,3.4
105,강릉,2017-03-31,7.2,6.5,77.9,7.8,.7
105,강릉,2017-04-01,5.8,8,81.8,7.5,1
105,강릉,2017-04-02,9.7,.5,51.5,5.8,5.2
105,강릉,2017-04-03,16.5,,24.1,4.2,7.7
105,강릉,2017-04-04,17.3,,28.4,5.6,6.3
105,강릉,2017-04-05,15,3,45.1,7.1,1.6
105,강릉,2017-04-06,15.1,2,62.1,10.1,4.6
105,강릉,2017-04-07,14.9,,59.5,9.8,3.7
105,강릉,2017-04-08,16.1,,60.5,10.7,3.5
105,강릉,2017-04-09,10.6,6.5,63.9,8.1,2.3
105,강릉,2017-04-10,10.1,,53.5,6.5,4
105,강릉,2017-04-11,11,1,69,9,3
105,강릉,2017-04-12,12.6,,39.5,5.5,5.9
105,강릉,2017-04-13,14.8,,26.5,4.6,7.1
105,강릉,2017-04-14,17.4,2.5,32.1,6.1,6.2
105,강릉,2017-04-15,20.7,,35.9,8.1,8
105,강릉,2017-04-16,23,,29.9,8,4.5
105,강릉,2017-04-17,13.8,13.5,69.1,10.2,1.1
105,강릉,2017-04-18,13.9,2.5,63.4,9.9,3.8
105,강릉,2017-04-19,14.3,,39.4,6.3,5.7
105,강릉,2017-04-20,15.6,,38.3,6.7,3.8
105,강릉,2017-04-21,13.1,,54.4,7.9,3.3
105,강릉,2017-04-22,13.5,.3,49.3,7.2,5.5
105,강릉,2017-04-23,19,,24,5.1,8.7
105,강릉,2017-04-24,19.7,,23.1,5.2,7.8
105,강릉,2017-04-25,18.5,,38.5,8.2,5.1
105,강릉,2017-04-26,14.3,,40.3,6.4,4.8
105,강릉,2017-04-27,14,,30.3,4.5,6.8
105,강릉,2017-04-28,17.7,,29.9,5.6,7.4
105,강릉,2017-04-29,19.9,0,31,6.4,10
105,강릉,2017-04-30,23.3,,35,9.1,6.7
105,강릉,2017-05-01,16,,48.3,8.4,5.8
105,강릉,2017-05-02,15.2,,58.9,9.8,4
105,강릉,2017-05-03,18.7,,49,9.8,6
105,강릉,2017-05-04,21.1,,42.3,10.1,4.9
105,강릉,2017-05-05,23.6,,36.1,10.4,7.5
105,강릉,2017-05-06,18.8,,19.1,4.1,9.8
105,강릉,2017-05-07,19.7,,19,4.4,12
105,강릉,2017-05-08,22.8,,26,6.8,7.2
105,강릉,2017-05-09,14.9,1.5,76.9,13,1.5
105,강릉,2017-05-10,15,1,76.9,13,2.7
105,강릉,2017-05-11,22.8,,41.5,11.3,5.8
105,강릉,2017-05-12,22.8,,45.3,12.3,3.9
105,강릉,2017-05-13,16.7,8.5,67.3,12.6,3.3
105,강릉,2017-05-14,18.7,,32.5,6.7,8.5
105,강릉,2017-05-15,17.6,,46.4,9.3,5.3
105,강릉,2017-05-16,16.5,,63.4,11.8,3.6
105,강릉,2017-05-17,19.1,,51.4,10.9,6
105,강릉,2017-05-18,24.7,,33.3,10,9.6
105,강릉,2017-05-19,27.3,,21,7.4,12.8
105,강릉,2017-05-20,26.4,,28.9,9.7,6.9
105,강릉,2017-05-21,24.7,,40,12.2,6.4
105,강릉,2017-05-22,17.7,,71.6,14.5,3.6
105,강릉,2017-05-23,19.1,,64.3,13.6,3.2
105,강릉,2017-05-24,18.8,13.5,75.9,16.2,4.7
105,강릉,2017-05-25,19.8,,45.4,9.9,6
105,강릉,2017-05-26,14,.5,63,9.9,2.6
105,강릉,2017-05-27,17.3,,55.5,10.5,5.7
105,강릉,2017-05-28,24.4,,36.5,10.7,7.5
105,강릉,2017-05-29,24.2,,47.1,13.8,6.1
105,강릉,2017-05-30,26.7,,32.8,11.2,4.8
105,강릉,2017-05-31,25.1,,36.8,11.5,5.4
105,강릉,2017-06-01,18.5,11,71.1,14.8,2
105,강릉,2017-06-02,16.5,.2,55.5,10,5.9
105,강릉,2017-06-03,17.7,,55.6,11.1,5.2
